1642	4392
1643	3943
1644	3636
1645	3364
1646	3174
1647	2988
1648	2822
1649	2670
1650	2531
1651	2401
1652	2279
1653	2165
1654	2057
1655	1954
1656	1862
1657	1762
1658	1672
1659	1585
1660	1502
1661	1421
1662	1343
1663	1268
1664	1195
1665	1124
1667	1054
1668	987
1669	921
1670	857
1671	795
1672	734
1673	674
1674	616
1675	559
1676	503
1677	448
1678	394
1679	342
1680	291
1681	240
1682	190
1683	142
1684	94
1685	47
1686	1
1687	-1
1688	-47
1689	-94
1690	-142
1691	-190
1692	-240
1693	-291
1694	-342
1695	-394
1696	-448
1697	-503
1698	-559
1699	-616
1700	-674
1701	-734
1702	-795
1703	-857
1704	-921
1705	-987
1706	-1054
1707	-1124
1708	-1195
1709	-1268
1710	-1343
1711	-1421
1712	-1502
1713	-1585
1714	-1672
1715	-1762
1716	-1862
1717	-1954
1718	-2057
1719	-2165
1720	-2279
1721	-2401
1722	-2531
1723	-2670
1724	-2822
1725	-2988
1726	-3174
1727	-3364
1728	-3636
1729	-3943
1730	-4392
1731	-4928
1732	-5464
1733	-6000
